📺 山东电信单播,#genre#
青岛QTV-1,http://192.168.123.1:4000/udp/239.21.1.69:5002
青岛QTV-2,http://192.168.123.1:4000/udp/239.21.1.70:5002
青岛QTV-3,http://192.168.123.1:4000/udp/239.21.1.71:5002
青岛QTV-4,http://192.168.123.1:4000/udp/239.21.1.72:5002
青岛QTV-5,http://192.168.123.1:4000/udp/239.21.1.73:5002
青岛QTV-6,http://192.168.123.1:4000/udp/239.21.1.74:5002
德州新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.75:5002
德州公共 HD,http://192.168.123.1:4000/udp/239.21.1.76:5002
潍坊WFTV-1 HD,http://192.168.123.1:4000/udp/239.21.1.77:5002
潍坊WFTV-2 HD,http://192.168.123.1:4000/udp/239.21.1.78:5002
日照新闻综合,http://192.168.123.1:4000/udp/239.21.1.79:5002
日照科教,http://192.168.123.1:4000/udp/239.21.1.80:5002
东营新闻综合,http://192.168.123.1:4000/udp/239.21.1.81:5002
东营公共,http://192.168.123.1:4000/udp/239.21.1.82:5002
淄博都市,http://192.168.123.1:4000/udp/239.21.1.83:5002
淄博新闻 HD,http://192.168.123.1:4000/udp/239.21.1.84:5002
海看爱宠 HD,http://192.168.123.1:4000/udp/239.21.1.85:5002
海看儿歌,http://192.168.123.1:4000/udp/239.21.1.86:5002
山东卫视 HD,http://192.168.123.1:4000/udp/239.21.1.87:5002
北京卫视 HD,http://192.168.123.1:4000/udp/239.21.1.88:5002
江苏卫视 HD,http://192.168.123.1:4000/udp/239.21.1.89:5002
浙江卫视 HD,http://192.168.123.1:4000/udp/239.21.1.90:5002
黑龙江卫视 HD,http://192.168.123.1:4000/udp/239.21.1.91:5002
广东卫视 HD,http://192.168.123.1:4000/udp/239.21.1.92:5002
深圳卫视 HD,http://192.168.123.1:4000/udp/239.21.1.93:5002
济南新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.94:5002
空,http://192.168.123.1:4000/udp/239.21.1.95:5002
海看,http://192.168.123.1:4000/udp/239.21.1.96:5002
海看少儿 HD,http://192.168.123.1:4000/udp/239.21.1.97:5002
海看剧场 HD,http://192.168.123.1:4000/udp/239.21.1.98:5002
海看大片 HD,http://192.168.123.1:4000/udp/239.21.1.99:5002
海看热播 HD,http://192.168.123.1:4000/udp/239.21.1.100:5002
山东教育卫视,http://192.168.123.1:4000/udp/239.21.1.101:5002
德州夏津公共 HD,http://192.168.123.1:4000/udp/239.21.1.102:5002
菏泽HZTV-1,http://192.168.123.1:4000/udp/239.21.1.103:5002
空,http://192.168.123.1:4000/udp/239.21.1.104:5002
淄博桓台TV-1,http://192.168.123.1:4000/udp/239.21.1.105:5002
德州夏津综合 HD,http://192.168.123.1:4000/udp/239.21.1.106:5002
济南长清新闻,http://192.168.123.1:4000/udp/239.21.1.107:5002
空,http://192.168.123.1:4000/udp/239.21.1.108:5002
淄博生活,http://192.168.123.1:4000/udp/239.21.1.109:5002
淄博科教,http://192.168.123.1:4000/udp/239.21.1.110:5002
东方卫视 HD,http://192.168.123.1:4000/udp/239.21.1.111:5002
山东居家购物,http://192.168.123.1:4000/udp/239.21.1.112:5002
东南卫视 HD,http://192.168.123.1:4000/udp/239.21.1.113:5002
淄博沂源新闻,http://192.168.123.1:4000/udp/239.21.1.114:5002
中国交通 HD,http://192.168.123.1:4000/udp/239.21.1.115:5002
烟台新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.116:5002
烟台公共,http://192.168.123.1:4000/udp/239.21.1.117:5002
滨州新闻综合,http://192.168.123.1:4000/udp/239.21.1.118:5002
滨州公共,http://192.168.123.1:4000/udp/239.21.1.119:5002
CCTV1 HD,http://192.168.123.1:4000/udp/239.21.1.120:5002
海看大片 HD,http://192.168.123.1:4000/udp/239.21.1.121:5002
喜剧影院,http://192.168.123.1:4000/udp/239.21.1.122:5002
动作影院,http://192.168.123.1:4000/udp/239.21.1.123:5002
IPTV经典电影,http://192.168.123.1:4000/udp/239.21.1.124:5002
IPTV少儿动画,http://192.168.123.1:4000/udp/239.21.1.125:5002
IPTV相声小品,http://192.168.123.1:4000/udp/239.21.1.126:5002
财富天下,http://192.168.123.1:4000/udp/239.21.1.127:5002
IPTV热播剧场,http://192.168.123.1:4000/udp/239.21.1.128:5002
IPTV魅力时尚,http://192.168.123.1:4000/udp/239.21.1.129:5002
墨宝,http://192.168.123.1:4000/udp/239.21.1.130:5002
光影,http://192.168.123.1:4000/udp/239.21.1.131:5002
美人,http://192.168.123.1:4000/udp/239.21.1.132:5002
济南教育,http://192.168.123.1:4000/udp/239.21.1.133:5002
山东齐鲁 HD,http://192.168.123.1:4000/udp/239.21.1.134:5002
海看电竞 HD,http://192.168.123.1:4000/udp/239.21.1.135:5002
空,http://192.168.123.1:4000/udp/239.21.1.136:5002
空,http://192.168.123.1:4000/udp/239.21.1.137:5002
济宁综合,http://192.168.123.1:4000/udp/239.21.1.138:5002
济宁教育,http://192.168.123.1:4000/udp/239.21.1.139:5002
山东新闻 HD,http://192.168.123.1:4000/udp/239.21.1.140:5002
山东体育 HD,http://192.168.123.1:4000/udp/239.21.1.141:5002
CCTV5+ HD,http://192.168.123.1:4000/udp/239.21.1.142:5002
泰安宁阳-1 HD,http://192.168.123.1:4000/udp/239.21.1.143:5002
泰安宁阳-2,http://192.168.123.1:4000/udp/239.21.1.144:5002
空,http://192.168.123.1:4000/udp/239.21.1.145:5002
空,http://192.168.123.1:4000/udp/239.21.1.146:5002
空,http://192.168.123.1:4000/udp/239.21.1.147:5002
空,http://192.168.123.1:4000/udp/239.21.1.148:5002
济南鲁中,http://192.168.123.1:4000/udp/239.21.1.149:5002
济南科教,http://192.168.123.1:4000/udp/239.21.1.150:5002
CCTV2 HD,http://192.168.123.1:4000/udp/239.21.1.151:5002
CCTV7 HD,http://192.168.123.1:4000/udp/239.21.1.152:5002
CCTV9 HD,http://192.168.123.1:4000/udp/239.21.1.153:5002
CCTV4 HD,http://192.168.123.1:4000/udp/239.21.1.154:5002
CCTV10 HD,http://192.168.123.1:4000/udp/239.21.1.155:5002
CCTV12 HD,http://192.168.123.1:4000/udp/239.21.1.156:5002
CCTV14 HD,http://192.168.123.1:4000/udp/239.21.1.157:5002
湖南卫视 HD,http://192.168.123.1:4000/udp/239.21.1.158:5002
安徽卫视 HD,http://192.168.123.1:4000/udp/239.21.1.159:5002
空,http://192.168.123.1:4000/udp/239.21.1.160:5002
IPTV5+,http://192.168.123.1:4000/udp/239.21.1.161:5002
足球,http://192.168.123.1:4000/udp/239.21.1.162:5002
湖北卫视 HD,http://192.168.123.1:4000/udp/239.21.1.163:5002
辽宁卫视 HD,http://192.168.123.1:4000/udp/239.21.1.164:5002
天津卫视 HD,http://192.168.123.1:4000/udp/239.21.1.165:5002
贵州卫视 HD,http://192.168.123.1:4000/udp/239.21.1.166:5002
江西卫视 HD,http://192.168.123.1:4000/udp/239.21.1.167:5002
河北卫视 HD,http://192.168.123.1:4000/udp/239.21.1.168:5002
山东教育卫视 HD,http://192.168.123.1:4000/udp/239.21.1.169:5002
金鹰纪实 HD,http://192.168.123.1:4000/udp/239.21.1.170:5002
上海纪实 HD,http://192.168.123.1:4000/udp/239.21.1.171:5002
北京纪实 HD,http://192.168.123.1:4000/udp/239.21.1.172:5002
空,http://192.168.123.1:4000/udp/239.21.1.173:5002
威海文登TV-1 HD,http://192.168.123.1:4000/udp/239.21.1.174:5002
山东生活 HD,http://192.168.123.1:4000/udp/239.21.1.175:5002
山东文旅 HD,http://192.168.123.1:4000/udp/239.21.1.176:5002
山东综艺 HD,http://192.168.123.1:4000/udp/239.21.1.177:5002
枣庄滕州综合,http://192.168.123.1:4000/udp/239.21.1.178:5002
未知超清电影 4K,http://192.168.123.1:4000/udp/239.21.1.179:5002
潍坊寿光新闻 ,http://192.168.123.1:4000/udp/239.21.1.180:5002
滨州惠民综合,http://192.168.123.1:4000/udp/239.21.1.181:5002
淄博公共 HD,http://192.168.123.1:4000/udp/239.21.1.182:5002
山东农科 HD,http://192.168.123.1:4000/udp/239.21.1.183:5002
济宁金乡新闻 HD,http://192.168.123.1:4000/udp/239.21.1.184:5002
济宁邹城新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.185:5002
CCTV17 HD,http://192.168.123.1:4000/udp/239.21.1.186:5002
济南济阳综合 HD,http://192.168.123.1:4000/udp/239.21.1.187:5002
空,http://192.168.123.1:4000/udp/239.21.1.188:5002
空,http://192.168.123.1:4000/udp/239.21.1.189:5002
CCTV5+ LD,http://192.168.123.1:4000/udp/239.21.1.190:5002
